Fichier STL;Pièce;Quantité;Matériau;Hauteur de couche;Parois;Remplissage;Supports;Notes
side_panel_alignment_key_x28.stl;Clé d’alignement de flanc;28;PETG;0,20 mm;4;60 %;Non;Imprimer à plat. Tester une clé avant d’imprimer les vingt-huit exemplaires.
side_panel_joiner_x14.stl;Plaque de jonction de flanc;14;PETG;0,20 mm;5;50 %;Non;Imprimer à plat, logements d’inserts orientés vers le haut.
side_panel_left_*.stl;Sections imprimables du flanc gauche;6;PETG;0,28 mm;5;15 %;Non;Imprimer chaque section à plat. Ne pas assembler définitivement avant l’ajout des fixations mécaniques.
side_panel_right_*.stl;Sections imprimables du flanc droit;6;PETG;0,28 mm;5;15 %;Non;Imprimer chaque section à plat. Vérifier que le miroir correspond au côté droit.
screen_support_x2.stl;Support arrière de l’écran;2;PETG;0,20 mm;5;40 %;Probablement nécessaires sous la surface supérieure;Imprimer les deux pièces dans la même orientation. Vérifier l’aperçu du trancheur.
m3_screw_test_coupon.stl;Éprouvette de passage des vis M3;1;PETG;0,20 mm;4;40 %;Non;Imprimer avec les mêmes réglages que les pièces mécaniques définitives.
chassis_front_left.stl;Châssis avant gauche;1;PETG;0,20 mm;4;25 %;Non, sauf indication du trancheur;Imprimer à plat.
chassis_front_right.stl;Châssis avant droit;1;PETG;0,20 mm;4;25 %;Non, sauf indication du trancheur;Imprimer à plat.
chassis_rear_left.stl;Châssis arrière gauche;1;PETG;0,20 mm;4;25 %;Non, sauf indication du trancheur;Imprimer à plat.
chassis_rear_right.stl;Châssis arrière droit;1;PETG;0,20 mm;4;25 %;Non, sauf indication du trancheur;Imprimer à plat.
joiner_horizontal_x2.stl;Plaque de jonction horizontale;2;PETG;0,20 mm;4;40 %;Non, sauf indication du trancheur;Zone mécanique fortement sollicitée.
joiner_vertical_x2.stl;Plaque de jonction verticale;2;PETG;0,20 mm;4;40 %;Non, sauf indication du trancheur;Zone mécanique fortement sollicitée.
laptop_guide_left_x2.stl;Guide latéral gauche;2;PETG;0,20 mm;4;30 %;Non, sauf indication du trancheur;Paroi verticale orientée vers le portable.
laptop_guide_right_x2.stl;Guide latéral droit;2;PETG;0,20 mm;4;30 %;Non, sauf indication du trancheur;Paroi verticale orientée vers le portable.
laptop_rear_stop_x2.stl;Butée arrière;2;PETG;0,20 mm;4;30 %;Non, sauf indication du trancheur;Imprimer sur la base.
cable_clip_x2.stl;Clip de câble;2;PETG;0,20 mm;4;35 %;Non, sauf indication du trancheur;Utiliser au moins quatre parois.
tpu_pad_x6.stl;Patin antidérapant;6;TPU 95A;0,20 mm;3;20 %;Non;Imprimer lentement.
